,ERG
"KLF13>MKLN1,+",1
"CD59>DYNC1H1,+",1
"PSMA3>COX20,+",1
"FLOT1>CMPK1,+",1
"NDUFA1>NME1,+",1
"TTC1>PSMB5,+",1
"CTSL>PSMB5,+",1
"UFC1>TIE1,+",1
"FLOT1>EFNA1,+",1
"PSMB5>DBI,+",1
"UFC1>PIK3C2A,+",1
"PRDX5>PRDM1,+",1
"LAMTOR1>CTSL,+",1
"TIE1>PRDM1,+",1
"SUGT1>HPCAL1,-",1
"NDUFA1>PSMA3,+",1
"PDLIM5>PSMA3,+",1
"CD151>NIPBL,+",1
"PTPRA>SSU72,+",1
"MKLN1>SZRD1,+",1
"KLF13>SZRD1,+",1
"CCT3>PSMD8,+",1
"NUDCD1>BOLA3,+",1
"RNF181>TTC1,+",1
"DCTN3>LAMP1,+",1
"C8orf33>EIF4H,+",1
"PPP1CA>C8orf33,+",1
"EIF4H>C8orf33,+",1
"BAZ1B>CHMP2A,+",1
"SNRNP200>TCEAL8,+",1
"PSMA3-AS1>PPP1CA,+",1
"ETFB>MRPS36,+",1
"RILPL2>SF1,+",1
"PPP1CA>DPY30,+",1
"SNRNP200>NUCB1,+",1
"PRDM1>TOR1AIP2,+",1
"FOXP1>DPY30,+",1
"MCMBP>RILPL2,+",1
"C8orf33>NDUFB5,+",1
"SNRPB2>NDUFB5,+",1
"LAMP1>NCKAP1,+",1
"FLNA>TNFRSF1A,+",1
"PAIP2>RTL8C,+",1
"PPP1R14B>EIF4H,+",1
"PPP1CA>TM7SF3,-",1
"MCMBP>ADSS,+",1
"NDUFB5>NME1,+",1
"ATP5MC3>NDUFB7,+",1
"CHMP3>NDUFB7,+",1
"TMEM109>CCT3,+",1
"SSR2>GNG12,+",1
"UQCRH>ZMYM4,+",1
"DCTN3>ZMYM4,+",1
"MCMBP>ZMYM4,+",1
"PPP1CA>PSMA3-AS1,+",1
"DCTN3>NASP,-",1
"TCEAL8>TM7SF3,+",1
"MAP3K3>ATP5MC3,+",1
"EIF4H>SNX1,+",1
"PSMD8>SNX1,+",1
"ATP5MC3>MAP3K3,+",1
"EIF4H>PPP1R14B,+",1
"AHNAK>PPP1R14B,+",1
"UQCRH>UFC1,+",1
"PICALM>TOR1AIP2,+",1
"CHMP3>CCT7,+",1
"PPP1R14B>ADSS,+",1
"MRPL33>BOLA3,+",1
"CCT3>CHMP2A,+",1
"EFCAB14>RHOJ,+",1
"ASPH>CNKSR3,+",1
"TNFRSF1A>CNKSR3,+",1
"PAIP2>ADCY4,+",1
"NDUFS8>BAZ1B,+",1
"PDCD4>TPR,+",1
"QSOX1>BAZ1B,+",1
"SF1>MRPS34,-",1
"ASPH>UBE2G2,+",1
"CHMP3>ATP8B1,+",1
"SF1>PRDM1,+",1
"MCMBP>ATXN7L3B,+",1
"ATP5MG>UBE2G2,+",1
"PAIP2>ALG5,+",1
"FOXP1>PAIP2,+",1
"UQCRH>PAIP2,+",1
"NUDCD1>ALG5,+",1
"NIPBL>ALG5,+",1
"ASPH>TTC1,+",1
"NASP>NUDCD1,+",1
"TCEAL8>TRIP11,+",1
"TNFRSF1A>PSMB5,+",1
"FOXP1>TRIP11,+",1
"PICALM>GSTK1,+",1
"TCEAL8>WDR45B,+",1
"BOLA3>WDR45B,+",1
"ATP5MC3>WDR45B,-",1
"FLNA>RPN1,+",1
"CCT3>PSMB5,+",1
"PSMD8>FLNA,+",1
"HLA-A>HLA-C,+",1
"MRPL33>ZNHIT1,+",1
"COX6C>SELENOM,+",1
"ARF1>CCT3,+",1
"UFC1>CCT3,+",1
"SNRNP200>FLNA,+",1
"EFCAB14>CHMP3,+",1
"NIPBL>EFCAB14,+",1
"UBE2E3>STRAP,+",1
"ERG>STRAP,+",1
"NDUFA1>POLK,+",1
"PSMB5>ERG,+",1
"PKM>PRCP,+",1
"C1orf115>AP2B1,+",1
"PSMA3>C1orf115,+",1
"CALCRL>C1orf115,+",1
"BSG>TSHZ2,+",1
"LAMTOR1>HPCAL1,+",1
"RHOJ>HPCAL1,+",1
"SLC38A2>ANP32B,+",1
"FKBP8>BZW1,+",1
"KANSL1>AP2B1,+",1
"EIF1B>PEBP1,+",1
"VCAM1>HSPA2,+",1
"C4orf3>SBDS,+",1
"C19orf70>MRPS34,+",1
"SLC38A2>TIE1,+",1
"PSMB5>GMPR2,+",1
"ENSA>MRPS34,+",1
"PSMA3>GMPR2,+",1
"UBE2E3>GBP4,+",1
"FNDC3A>NHP2,+",1
"PTPRA>TMEM14C,+",1
"SCP2>NPTN,+",1
"MTCH1>PPP1R14B,+",1
"FOXP1>COMMD7,+",1
"RHOJ>MTCH1,+",1
"PPP1R14B>MTCH1,+",1
"SERPING1>DPYSL3,+",1
"FKBP8>SCP2,+",1
"SLC25A5>LY96,+",1
"DPYSL2>FKBP8,+",1
"COX6C>PSMA3,+",1
"SCP2>SLC38A2,+",1
"PSMA3>PAIP2,+",1
"COX6C>NPTN,+",1
"FKBP8>PAIP2,+",1
"CALCRL>EIF1B,+",1
"CALCRL>FAM177A1,+",1
"SNRPD2>FAM177A1,+",1
"HPCAL1>FAM177A1,+",1
"RHOJ>PCBP1,+",1
"PKM>ANXA1,+",1
"RPS27L>NDUFA8,+",1
"NUCB1>NHP2,+",1
"NUCB1>VCAM1,+",1
"COX6C>PSMB5,+",1
"UBE2E3>ENG,+",1
"FOXP1>MRPL33,+",1
"SELENOM>MARCH6,+",1
"SLC25A3>ATP6V0E1,+",1
"CALCRL>SON,+",1
"LAMTOR1>PET100,+",1
"KANSL1>SSU72,+",1
"RTF2>UBE2E3,+",1
"SCP2>LAMTOR4,+",1
"C19orf70>MED13,+",1
"VPS13C>FNDC3A,+",1
"HPCAL1>GLRX5,+",1
"RBFOX2>MED13,+",1
"PSMB5>GLRX5,+",1
"POLK>ERG,+",1
"GUK1>ACKR1,+",1
"NDUFB1>PSMA3,+",1
"QSOX1>CITED2,+",1
"ATP6V0E1>PSMA3,+",1
"C1orf115>FNDC3A,+",1
"C1orf115>ERH,+",1
"SLC38A2>PIK3R3,+",1
"RAB5C>TCF25,+",1
"GON4L>PIK3R3,+",1
"RHOJ>TNFRSF1A,+",1
"PPP1R14B>PIK3R3,+",1
"BSG>GON4L,+",1
