,PTEN
"STAT5B>USP14,+",1
"CCDC88A>TTC19,+",1
"MTPN>ZC3H14,+",1
"PSIP1>H2AFJ,+",1
"CX3CL1>NME4,+",1
"EMC2>SLC30A7,+",1
"PPP4R3A>TTC19,+",1
"DAZAP2>STX12,+",1
"HDAC1>RNF10,+",1
"EMC2>CALCOCO2,+",1
"ZC3H14>STX12,+",1
"CX3CL1>SWAP70,+",1
"ITSN2>PRKD3,+",1
"S100A4>TMEM273,+",1
"DMAC1>LSM7,+",1
"SLIRP>LSM7,+",1
"KDM2A>NMI,+",1
"NME4>SUZ12,+",1
"BEND7>LSM7,+",1
"AK3>PRKD3,+",1
"PRKCSH>PRKD3,+",1
"CCDC88A>TAX1BP1,+",1
"ACBD3>ITPRIP,-",1
"RNF10>C1GALT1C1,+",1
"CHSY1>C1GALT1C1,+",1
"DMAC1>NMI,-",1
"POLK>COX5B,+",1
"MTPN>CX3CL1,+",1
"HDAC1>EMC2,+",1
"PBXIP1>EMC2,+",1
"NDUFS1>CX3CL1,+",1
"BEND7>LPGAT1,+",1
"TXNDC12>FCHO2,+",1
"ZNF207>SUGT1,+",1
"PSIP1>SWAP70,+",1
"ATOX1>CHMP2A,+",1
"SERPINH1>KIAA0355,+",1
"DAZAP2>RILPL2,+",1
"TMEM273>PLK3,+",1
"HIST1H4C>CALCOCO2,+",1
"CX3CL1>PLK3,+",1
"PA2G4>EIF2S2,+",1
"SYF2>HIGD2A,+",1
"SMC4>PLK3,+",1
"TMEM50B>RNF10,-",1
"SMC4>CSDE1,+",1
"APLP2>RNF10,+",1
"RTF1>DMAC1,+",1
"CX3CL1>RILPL2,+",1
"TMEM273>TSC22D3,+",1
"ZC3H14>TMEM50B,+",1
"SAP30BP>ATOX1,+",1
"CCDC88A>ATOX1,+",1
"MTPN>TMEM50B,+",1
"SMC4>UBE2Q2,-",1
"DMAC1>CCT5,+",1
"DOCK9>AKAP9,+",1
"LIPA>RAB14,+",1
"TMEM273>SYF2,+",1
"S100A4>TSC22D3,+",1
"HECTD1>GOLGA2,+",1
"ANP32E>SMIM37,+",1
"PTEN>STMP1,+",1
"TCN2>GLUD1,+",1
"CMPK1>C1orf115,+",1
"ITSN2>PSMF1,+",1
"ARID1A>NUDT4,+",1
"USP9X>RIF1,+",1
"EMC2>PSMF1,-",1
"TCN2>FGD5-AS1,+",1
"PTTG1IP>FGD5-AS1,+",1
"USP9X>FGD5-AS1,+",1
"COX6B1>FGD5-AS1,+",1
"EIF3D>GNA11,+",1
"PRKCSH>GNA11,+",1
"ACBD3>UBE2Q2,+",1
"PRKAR2A>EFR3A,+",1
"RIF1>PRKCSH,+",1
"PBXIP1>ELMO1,+",1
"UPF2>RECQL,+",1
"PA2G4>PRKCSH,+",1
"USP9X>C1GALT1C1,+",1
"PA2G4>C1GALT1C1,-",1
"PRKD3>C1GALT1C1,+",1
"KIF1B>ARID1A,+",1
"PTEN>KDM2A,+",1
"KDM2A>PTPRM,+",1
