,AR
"CTBS>ZSCAN18,+",1
"SRP72>SPAG9,+",1
"FBL>GFOD2,+",1
"MRPS10>EIF4A3,+",1
"ELK4>DEPP1,+",1
"MAZ>OGT,+",1
"EIF2S1>CTBS,+",1
"RAB2A>CTBS,+",1
"SUGP2>HADHB,-",1
"RAB14>PFDN2,+",1
"ZNF580>GPAA1,+",1
"NFE2L1>WBP2,+",1
"RAB2A>NAA38,+",1
"THSD7A>FBXO7,+",1
"ZNF580>FBXO7,-",1
"COPA>FBXO7,-",1
"EIF2S1>FBXO7,+",1
"KIF1B>FBXO7,+",1
"NAA38>OGT,+",1
"KIDINS220>BIRC6,-",1
"GPATCH8>HADHB,+",1
"YLPM1>MAP3K2,+",1
"KIF1B>MTPN,+",1
"CWC15>GATAD2B,+",1
"HLA-DPB1>CDC42SE1,+",1
"CCT7>GATAD2B,+",1
"LSM12>GATAD2B,+",1
"KIDINS220>ZEB1,+",1
"KIF1B>MGLL,+",1
"PDCD7>MGLL,+",1
"ERCC6L2>YLPM1,+",1
"ZNF580>MGLL,-",1
"CLIC2>YLPM1,+",1
"ATP6AP2>ATP5MF,+",1
"PPP1R13B>HADHB,+",1
"KIDINS220>HEBP1,+",1
"ZBTB38>GBP2,+",1
"MMP24OS>MAZ,+",1
"RBMS3>COMT,+",1
"HEBP1>KIDINS220,+",1
"CWC15>SESN3,+",1
"RAB2A>BIRC2,+",1
"GATAD2B>SNF8,+",1
"SLC44A1>TMEM204,-",1
"COPA>KRIT1,-",1
"CWC15>KRIT1,+",1
"COPA>MDFIC,+",1
"PPP2R1A>MDFIC,+",1
"MAZ>MDFIC,-",1
"NFU1>BMP4,+",1
"FBXO9>MAZ,+",1
"ACIN1>MAZ,+",1
"THSD7A>HEBP1,+",1
"DENR>BMP4,+",1
"THSD7A>SLC44A1,+",1
"EIF2S1>SLC44A1,-",1
"PIK3C2A>RUNX1T1,+",1
"FBL>HADHB,+",1
"GOSR1>HADHB,+",1
"KIDINS220>RUNX1T1,+",1
"NAA38>RUNX1T1,+",1
"CCDC50>ETS1,+",1
"CWC15>CFI,+",1
"RUNX1T1>TIAL1,+",1
"PPP2R1A>RPS17,+",1
"CFI>AC058791.1,+",1
"MMP24OS>MGLL,-",1
"KIDINS220>MVB12A,-",1
"RGS16>PRMT1,+",1
"CTBS>C19orf24,+",1
"INTS3>MAP3K2,+",1
"DPM3>EIF2S1,+",1
"BRD7>EIF2S1,+",1
"NF1>PARP9,+",1
"SRP72>EIF2S1,+",1
"PRMT1>GNAQ,+",1
"RPAP2>MRPS10,+",1
"RGS16>MRPS10,+",1
"APH1A>RNMT,+",1
"RBPMS>RNMT,+",1
"RAB18>ADCY4,+",1
"RBPMS>RUNDC3B,+",1
"DDX46>C19orf24,+",1
"LAMTOR4>PARP9,-",1
"GTF2I>MAP3K2,+",1
"NCOA4>C19orf24,+",1
"PRMT1>C19orf24,+",1
"CCDC14>UBE2I,+",1
"RGS16>UBE2I,+",1
"INTS3>FBXO3,+",1
"WAC>EIF4A3,+",1
"LAMTOR4>PPP4R2,+",1
